order_date,delivery_date,sku_id,product_name,category,quantity,outlet_id,outlet_name,channel,district,unit_cost,unit_price,cost,revenue
2025-12-25,2025-12-27,HTB-PR-003,Matcha Premium Tin 107g x12,Premium,1,R01000,7-Eleven Petaling #95,Convenience Store,Petaling,120.0,163.4,120.0,163.4
2025-12-25,2025-12-27,HTB-CW-004,Almond Choco Wafer 35g x24,Chocolate Wafers,2,R01000,7-Eleven Petaling #95,Convenience Store,Petaling,49.98,67.55,99.96,135.1
2025-12-25,2025-12-27,HTB-WS-005,Strawberry Wafer Stick 47g x24,Wafer Sticks,3,R01000,7-Eleven Petaling #95,Convenience Store,Petaling,34.65,44.4,103.95,133.2
2025-12-25,2025-12-27,HTB-PR-002,Seaweed Wafer Tin 107g x12,Premium,1,R01000,7-Eleven Petaling #95,Convenience Store,Petaling,110.55,146.76,110.55,146.76
2025-12-25,2025-12-27,HTB-PR-006,Durian Wafer Tin 107g x12,Premium,1,R01000,7-Eleven Petaling #95,Convenience Store,Petaling,119.85,169.4,119.85,169.4
2025-12-25,2025-12-27,HTB-LC-006,Vanilla Layer Cake 18g x24,Layer Cakes,1,R01000,7-Eleven Petaling #95,Convenience Store,Petaling,23.46,29.3,23.46,29.3
2025-12-25,2025-12-27,HTB-PR-005,Macadamia Cookie Tin 150g x12,Premium,1,R01000,7-Eleven Petaling #95,Convenience Store,Petaling,134.86,170.85,134.86,170.85
2025-12-25,2025-12-27,HTB-CC-003,Marie Biscuit 75g x14,Cream Crackers,3,R01000,7-Eleven Petaling #95,Convenience Store,Petaling,48.33,66.15,144.99,198.45
2025-12-25,2025-12-27,HTB-PR-001,Choco Lava Tin 107g x12,Premium,1,R01000,7-Eleven Petaling #95,Convenience Store,Petaling,116.35,152.51,116.35,152.51
2025-12-09,2025-12-11,HTB-PR-003,Matcha Premium Tin 107g x12,Premium,1,R01000,7-Eleven Petaling #95,Convenience Store,Petaling,123.26,161.05,123.26,161.05
2025-12-09,2025-12-11,HTB-PR-006,Durian Wafer Tin 107g x12,Premium,1,R01000,7-Eleven Petaling #95,Convenience Store,Petaling,118.37,166.83,118.37,166.83
2025-12-09,2025-12-11,HTB-WS-001,Choco Wafer Stick 47g x24,Wafer Sticks,1,R01000,7-Eleven Petaling #95,Convenience Store,Petaling,33.85,42.7,33.85,42.7
2025-12-09,2025-12-11,HTB-LC-002,Strawberry Layer Cake 18g x24,Layer Cakes,3,R01000,7-Eleven Petaling #95,Convenience Store,Petaling,21.99,28.87,65.97,86.61
2025-12-09,2025-12-11,HTB-CW-002,Milk Choco Wafer 35g x24,Chocolate Wafers,2,R01000,7-Eleven Petaling #95,Convenience Store,Petaling,48.23,61.32,96.46,122.64
2025-12-09,2025-12-11,HTB-WS-004,Coffee Wafer Stick 47g x24,Wafer Sticks,3,R01000,7-Eleven Petaling #95,Convenience Store,Petaling,35.92,43.46,107.76,130.38
2025-12-09,2025-12-11,HTB-CW-006,Peanut Choco Wafer 35g x24,Chocolate Wafers,3,R01000,7-Eleven Petaling #95,Convenience Store,Petaling,46.87,61.52,140.61,184.56
2025-12-25,2025-12-27,HTB-CW-004,Almond Choco Wafer 35g x24,Chocolate Wafers,5,R01001,KK Super Mart Petaling #18,Minimarket,Petaling,52.36,68.7,261.8,343.5
2025-12-25,2025-12-27,HTB-PR-001,Choco Lava Tin 107g x12,Premium,1,R01001,KK Super Mart Petaling #18,Minimarket,Petaling,119.98,149.79,119.98,149.79
2025-12-25,2025-12-27,HTB-CC-002,Butter Biscuit 75g x14,Cream Crackers,3,R01001,KK Super Mart Petaling #18,Minimarket,Petaling,52.68,69.36,158.04,208.08
2025-12-25,2025-12-27,HTB-GP-001,Christmas Hamper Standard,Festive Gift Packs,2,R01001,KK Super Mart Petaling #18,Minimarket,Petaling,191.04,266.3,382.08,532.6
2025-12-25,2025-12-27,HTB-GP-008,Luxe Gift Tin,Festive Gift Packs,1,R01001,KK Super Mart Petaling #18,Minimarket,Petaling,277.99,356.09,277.99,356.09
2025-12-25,2025-12-27,HTB-LC-001,Choco Layer Cake 18g x24,Layer Cakes,4,R01001,KK Super Mart Petaling #18,Minimarket,Petaling,22.29,26.93,89.16,107.72
2025-12-25,2025-12-27,HTB-CW-005,Hazelnut Choco Wafer 35g x24,Chocolate Wafers,4,R01001,KK Super Mart Petaling #18,Minimarket,Petaling,48.26,67.96,193.04,271.84
2025-12-15,2025-12-17,HTB-WS-003,Hazelnut Wafer Stick 47g x24,Wafer Sticks,2,R01001,KK Super Mart Petaling #18,Minimarket,Petaling,34.06,44.86,68.12,89.72
2025-12-15,2025-12-17,HTB-PR-006,Durian Wafer Tin 107g x12,Premium,2,R01001,KK Super Mart Petaling #18,Minimarket,Petaling,116.12,165.63,232.24,331.26
2025-12-15,2025-12-17,HTB-LC-003,Pandan Layer Cake 18g x24,Layer Cakes,1,R01001,KK Super Mart Petaling #18,Minimarket,Petaling,21.35,28.77,21.35,28.77
2025-12-15,2025-12-17,HTB-WS-002,Vanilla Wafer Stick 47g x24,Wafer Sticks,5,R01001,KK Super Mart Petaling #18,Minimarket,Petaling,35.41,47.11,177.05,235.55
2025-12-15,2025-12-17,HTB-GP-001,Christmas Hamper Standard,Festive Gift Packs,2,R01001,KK Super Mart Petaling #18,Minimarket,Petaling,187.6,259.5,375.2,519.0
2025-12-15,2025-12-17,HTB-CC-002,Butter Biscuit 75g x14,Cream Crackers,1,R01001,KK Super Mart Petaling #18,Minimarket,Petaling,55.23,65.32,55.23,65.32
2025-12-15,2025-12-17,HTB-LC-007,Mixed Flavour Layer Cake 18g x24,Layer Cakes,3,R01001,KK Super Mart Petaling #18,Minimarket,Petaling,24.94,32.74,74.82,98.22
2025-12-15,2025-12-17,HTB-PR-003,Matcha Premium Tin 107g x12,Premium,2,R01001,KK Super Mart Petaling #18,Minimarket,Petaling,129.96,164.94,259.92,329.88
2025-12-15,2025-12-17,HTB-GP-002,Christmas Hamper Premium,Festive Gift Packs,1,R01001,KK Super Mart Petaling #18,Minimarket,Petaling,249.35,330.41,249.35,330.41
2025-12-15,2025-12-17,HTB-CW-003,White Choco Wafer 35g x24,Chocolate Wafers,1,R01001,KK Super Mart Petaling #18,Minimarket,Petaling,48.66,65.55,48.66,65.55
2025-12-15,2025-12-17,HTB-PR-004,Truffle Biscuit Box 120g x12,Premium,2,R01001,KK Super Mart Petaling #18,Minimarket,Petaling,120.69,170.92,241.38,341.84
